rating,review_text,steming_data,has_complaint_term
5,"Aplikasinya masih banyak kekurangannya,data yg sudah kita masukkan,tidak muncul,begitupun dg data verval,sudah diinput dan disimpan,berhasil di simpan,tp pas kita cari dg memasukkan nm atau no.nik data tidak ditemukan.",aplikasi kekurangannyadata masukkantidak munculbegitupun data vervalsudah diinput disimpanberhasil simpantp pas cari masuk nama nonik data temu,True
4,setiap masuk disuruh update trus ke playstore.... sehari masuk 10x update juga ngikut terus,masuk suruh update playstore hari masuk kali update ngikut,True
5,blm bisa dibuka,buka,True
5,MOHON DIPERBAIKI DAN JAngan terus menerus di update mengingat hp yg ram kecil maka akan berpengaruh pada jaringan yg kurang stabil dan itu sangat susah untuk d upload,mohon baik terus update hp ram pengaruh jaring stabil susah upload,True
4,"kenapa minta update terus, padahal udah di update dan ga ada tombol untuk update. kalau buka selalu ada notif update. Dan ke playstore lagi tidak ada tombol update, adanya uninstall sama buka. Sudah buka halaman depan pasti muter muter muyer. harus berapa kali pasang hapus pasang hapus. 😒😒😒 kesabaran sudah menipis",update update tombol update buka notif update playstore tombol update uninstall buka buka halaman muter muter muyer kali pasang hapus pasang hapus sabar tip,True
5,"ini kenapa ya sudah di update tapi selalu muncul tulisan ( terdapat pembaruan aplikasi) trus, padahal udh versi terbaru",ya update muncul tulis baru aplikasi versi baru,True
5,"jaringan nya jelek selalu muter terus ,jdi menghambat pekerjaan kami ,🙏",jaring ya jelek muter hambat kerja,True
4,membantu sih tapi kok kadang suruh update lagi,bantu sih kadang suruh update,True
4,"setelah diotak-atik anak sy akhirnya aplikasi ini bisa dibuka. bagi yg muncul notifikasi update aplikasi, coba clear cache & data dahulu",diotakatik anak aplikasi buka muncul notifikasi update aplikasi coba clear cache data,True
4,"aplikasinya kok muter terus rek,,, gak bisa ngarap",aplikasi muter rek ngarap,True
5,ko gl bisa masuk aplikasi ini,gl masuk aplikasi,True
5,aplikasi elsimil error kah knp masih di arahkan ke play store aj padahal SDH instal lo,aplikasi elsimil error kah arah play store instal lo,True
4,masuk aplikasi nya sangat susah ...sudah diperbaharui tetp gak bisa dibuk,masuk aplikasi ya susah baharu buk,True
4,"muter2, slalu minta di update",muter update,True
4,"aplikasinya kurang akurat, tidak bisa maksimal mengerjakannya, kadang terkendala sver error",aplikasi akurat maksimal kerja kadang kendala sver error,True
5,tidak dapat buka aplikasi,buka aplikasi,True
4,kenapa sering eror aplikasi nya,eror aplikasi ya,True
4,Harus sabar banget datanya.. soalnya servernya eror terus,sabar banget data servernya eror,True
5,"baik dan mudah di gunakan, hanya saja jika tersedia versi offline lebih baik, karena satu kendala kami pengguna tidak tersedia jaringan yang baik.",mudah sedia versi offline kendala guna sedia jaring,True
